"TermDesc","Department","CRN","Subject","Course","Section","Title","CurrentEnrollment","Capacity","CrosslistID","CrosslistEnrollment","WaitlistEnrollment","WaitlistCapacity","ScheduleMethod","Days","BeginTime","EndTime","Bldg","Room","Center","StartDate","EndDate","Instructor"
"Fall 2026",Astronomy,73583,ASTR,"  1",001,"Cosmic Evolution",10,49,,,0,10,Lec,W,1510,1825,CHNB,1302,"Chinatown/North Beach",8/31/2026,12/22/2026,Pevyhouse
"Fall 2026",Astronomy,72081,ASTR,"  1",831,"Cosmic Evolution",49,49,,,8,10,Onl,TBA,TBA,TBA,TBA,,Online,8/18/2026,12/22/2026,Weil
"Fall 2026",Astronomy,70077,ASTR,"  1",832,"Cosmic Evolution",49,49,,,7,10,Onl,TBA,TBA,TBA,TBA,,Online,8/18/2026,12/22/2026,Weil
"Fall 2026",Astronomy,73823,ASTR,"  1",862,"Cosmic Evolution",58,59,,,0,10,Hyb,"TBA; R; R","TBA; 1810; 1810","TBA; 2100; 2100","TBA; SCIE; SCIE","311; 311",Ocean,8/18/2026,12/22/2026,"Bryja; Staff; Staff"
"Fall 2026",Astronomy,70083,ASTR,"  4",931,"Life in the Universe",49,49,,,3,10,Onl,TBA,TBA,TBA,TBA,,Online,9/28/2026,12/22/2026,Kao
"Fall 2026",Astronomy,70084,ASTR,"  4",932,"Life in the Universe",49,49,,,3,10,Onl,TBA,TBA,TBA,TBA,,Online,9/28/2026,12/22/2026,Kao
"Fall 2026",Astronomy,72296,ASTR," 16",931,"Observational Astronomy",39,40,,,0,10,Onl,TBA,TBA,TBA,TBA,,Online,9/28/2026,12/22/2026,Kao
"Fall 2026",Astronomy,73514,ASTR," 16",932,"Observational Astronomy",38,40,,,0,10,Onl,TBA,TBA,TBA,TBA,,Online,9/28/2026,12/22/2026,Kao
"Fall 2026",Astronomy,70080,ASTR," 17",931,Planets,49,49,,,2,10,Onl,TBA,TBA,TBA,TBA,,Online,8/31/2026,12/22/2026,Weil
"Fall 2026",Astronomy,72297,ASTR," 18",961,Stars,18,59,,,0,10,Hyb,"TBA; S; S","TBA; 0910; 0910","TBA; 1200; 1200","TBA; HBB; HBB","398; 398",Ocean,8/31/2026,12/22/2026,"Bryja; Staff; Staff"
"Fall 2026",Astronomy,70081,ASTR," 19",931,"Galaxies and the Universe",49,49,,,0,10,Onl,TBA,TBA,TBA,TBA,,Online,8/31/2026,12/22/2026,Weil
"Fall 2026",Astronomy,70082,ASTR," 19",932,"Galaxies and the Universe",49,49,,,0,10,Onl,TBA,TBA,TBA,TBA,,Online,8/31/2026,12/22/2026,Weil
"Fall 2026",Auto/Moto/Construction,74178,AUTO," 49",001,"Auto Body Maintenance/Detail",28,28,,,9,10,L/L,"S; S","0810; 0910","0900; 1200","EVANS; EVANS","114; 114",Evans,8/18/2026,12/22/2026,"Brady; Brady"
"Fall 2026",Auto/Moto/Construction,71551,AUTO," 50",001,"Intro Automotive Mechanics",26,26,,,10,10,L/L,"TR; TR; TR; TR","0910; 0910; 1010; 1010","1000; 1000; 1200; 1200","EVANS; EVANS; EVANS; EVANS","103; 103; 103; 103",Evans,8/18/2026,12/22/2026,"Garcia; Rothman; Garcia; Rothman"
"Fall 2026",Auto/Moto/Construction,71550,AUTO," 50",321,"Intro Automotive Mechanics",23,28,,,10,10,L/L,"MW; MW","1610; 1710","1700; 1900","EVANS; EVANS","103; 103",Evans,8/18/2026,12/22/2026,"Barone; Barone"
"Fall 2026",Auto/Moto/Construction,73818,AUTO," 58",001,"Auto Heating &Air-Condition",27,27,,,10,10,L/L,"MW; MW","0910; 1010","1000; 1200","EVANS; EVANS","103; 103",Evans,8/18/2026,12/22/2026,"Rothman; Rothman"
"Fall 2026",Auto/Moto/Construction,74295,AUTO," 63",001,"Braking Systems",27,27,,,8,10,L/L,"TR; TR","1610; 1740","1725; 1855","EVANS; EVANS","115; 251",Evans,8/18/2026,12/22/2026,"Barone; Barone"
"Fall 2026",Auto/Moto/Construction,74179,AUTO,202,001,"Welded Panel Replacement",28,28,,,1,10,L/L,"TR; TR","0910; 1010","1000; 1200","EVANS; EVANS","114; 114",Evans,8/18/2026,12/22/2026,"Brady; Brady"
"Fall 2026",Auto/Moto/Construction,74177,AUTO,204,001,"Body/Frame Straightening/Repai",27,28,,,0,10,L/L,"TR; TR","1810; 1910","1900; 2100","EVANS; EVANS","114; 114",Evans,8/18/2026,12/22/2026,"Brady; Brady"
"Fall 2026",Auto/Moto/Construction,74180,AUTO,206,001,"Plastic Repair & Refinishing",27,28,,,0,10,L/L,"TR; TR","1310; 1410","1400; 1600","EVANS; EVANS","114; 114",Evans,8/18/2026,12/22/2026,"Brady; Brady"
"Fall 2026",Auto/Moto/Construction,72543,CNST,100,001,"Intro to Construction",28,28,,,7,10,L/L,"TR; TR","0910; 1010","1000; 1200","EVANS; EVANS","255; 255",Evans,8/18/2026,12/22/2026,"Maximo; Maximo"
"Fall 2026",Auto/Moto/Construction,73568,CNST,107,001,"Blueprint Reading",28,28,,,1,10,L/L,"TR; TR","1710; 1810","1800; 2000","EVANS; EVANS","255; 255",Evans,8/18/2026,12/22/2026,"Maximo; Maximo"
"Fall 2026",Auto/Moto/Construction,73819,CNST,111,001,"Carpentry-Rough Framing",27,27,,,7,10,L/L,"TR; TR","1210; 1310","1300; 1500","EVANS; EVANS","255; 255",Evans,8/18/2026,12/22/2026,"Maximo; Maximo"
"Fall 2026",Auto/Moto/Construction,74175,CNST,112,001,"Carpentry-Advanced Framing",22,28,,,0,10,L/L,"S; S","0810; 1010","1000; 1400","EVANS; EVANS","103; 103",Evans,8/18/2026,12/22/2026,"Hong; Hong"
"Fall 2026",Auto/Moto/Construction,73161,CNST,113,001,"Finish Carpentry",26,26,,,1,10,L/L,"TR; TR","1810; 1910","1900; 2100","EVANS; EVANS","257; 257",Evans,8/18/2026,12/22/2026,"Cash; Cash"
"Fall 2026",Auto/Moto/Construction,71559,CNST,116,001,"Furniture Making & Woodworking",18,18,,,6,10,L/L,"MW; MW","1410; 1510","1500; 1700","EVANS; EVANS","257; 257",Evans,8/18/2026,12/22/2026,"Cash; Cash"
"Fall 2026",Auto/Moto/Construction,73162,CNST,116,002,"Furniture Making & Woodworking",26,26,,,10,10,L/L,"MW; MW","1810; 1910","1900; 2100","EVANS; EVANS","257; 257",Evans,8/18/2026,12/22/2026,"Cash; Cash"
"Fall 2026",Auto/Moto/Construction,73164,MOTO," 90",001,"Motorcycle Technology Intro",15,26,,,0,10,L/L,"MW; MW; MW; MW","1810; 1810; 1940; 1940","1925; 1925; 2055; 2055","EVANS; EVANS; EVANS; EVANS","115; 115; 115; 115",Evans,8/18/2026,12/22/2026,"Saunders; Simon; Saunders; Simon"
"Fall 2026",Auto/Moto/Construction,73165,MOTO," 90",002,"Motorcycle Technology Intro",10,28,,,0,10,L/L,"TR; TR","1810; 1940","1925; 2055","EVANS; EVANS","115; 115",Evans,8/18/2026,12/22/2026,"Simon; Simon"
"Fall 2026",Auto/Moto/Construction,74176,MOTO," 93",001,"Engine & Power Train Repair",17,28,,,0,10,L/L,"S; S","0810; 1110","1100; 1400","EVANS; EVANS","115; 115",Evans,8/18/2026,12/22/2026,"Saunders; Staff"
"Fall 2026","Biological Sciences",73013,BIO,"  9",001,"Human Biology",32,32,,,10,10,Hyb,"W; TBA","1010; TBA","1300; TBA","STEM; TBA",202,Ocean,8/18/2026,12/22/2026,"Sengupta; Sengupta"
"Fall 2026","Biological Sciences",74233,BIO,"  9",003,"Human Biology",32,32,,,6,10,L/L,"M; W","1810; 1810","2100; 2100","STEM; STEM","202; 202",Ocean,8/18/2026,12/22/2026,"Morante; Morante"
"Fall 2026","Biological Sciences",74335,BIO,"  9",004,"Human Biology",32,32,,,8,10,L/L,"M; W","1810; 1810","2100; 2100","MIC; MIC","366; 366",Mission,8/18/2026,12/22/2026,"Al-Dubaie; Al-Dubaie"
