"TermDesc","Department","CRN","Subject","Course","Section","Title","CurrentEnrollment","Capacity","CrosslistID","CrosslistEnrollment","WaitlistEnrollment","WaitlistCapacity","ScheduleMethod","Days","BeginTime","EndTime","Bldg","Room","Center","StartDate","EndDate","Instructor"
"Spring 2026",Astronomy,35996,ASTR,"  1",341,"Cosmic Evolution",20,49,,,0,0,Lec,W,1510,1825,CHNB,1302,"Chinatown/North Beach",1/26/2026,5/20/2026,Pevyhouse
"Spring 2026",Astronomy,30552,ASTR,"  1",831,"Cosmic Evolution",37,49,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,1/9/2026,5/20/2026,Weil
"Spring 2026",Astronomy,33364,ASTR,"  1",832,"Cosmic Evolution",36,49,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,1/9/2026,5/20/2026,Weil
"Spring 2026",Astronomy,36236,ASTR,"  1",861,"Cosmic Evolution",27,49,,,0,0,Hyb,"TBA; W; M","TBA; 1910; 1910","TBA; 2100; 2130","TBA; HBB; HBB","380; 380",Ocean,1/9/2026,5/20/2026,"Bryja; Staff; Staff"
"Spring 2026",Astronomy,36235,ASTR,"  1",862,"Cosmic Evolution",27,49,,,0,0,Hyb,"TBA; R; T","TBA; 1510; 1510","TBA; 1700; 1730","TBA; HBB; HBB","398; 398",Ocean,1/9/2026,5/20/2026,"Bryja; Staff; Staff"
"Spring 2026",Astronomy,31369,ASTR,"  4",931,"Life in the Universe",34,49,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,2/23/2026,5/20/2026,Kao
"Spring 2026",Astronomy,31370,ASTR,"  4",932,"Life in the Universe",36,49,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,2/23/2026,5/20/2026,Kao
"Spring 2026",Astronomy,31366,ASTR," 16",931,"Observational Astronomy",24,35,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,2/23/2026,5/20/2026,Kao
"Spring 2026",Astronomy,35285,ASTR," 16",932,"Observational Astronomy",21,35,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,2/23/2026,5/20/2026,Kao
"Spring 2026",Astronomy,31367,ASTR," 17",931,Planets,27,49,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,1/26/2026,5/20/2026,Weil
"Spring 2026",Astronomy,34760,ASTR," 18",961,Stars,30,59,,,0,0,Hyb,"TBA; S; S","TBA; 0940; 0910","TBA; 1130; 1130","TBA; HBB; HBB","398; 398",Ocean,1/26/2026,5/20/2026,"Bryja; Staff; Staff"
"Spring 2026",Astronomy,32164,ASTR," 19",931,"Galaxies and the Universe",40,49,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,1/26/2026,5/20/2026,Weil
"Spring 2026",Astronomy,31809,ASTR," 19",932,"Galaxies and the Universe",43,49,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,1/26/2026,5/20/2026,Weil
"Spring 2026",Auto/Moto/Construction,33740,AUTO," 50",001,"Intro Automotive Mechanics",19,26,,,0,0,L/L,"TR; TR","1610; 1710","1700; 1900","EVANS; EVANS","103; 103",Evans,1/9/2026,5/20/2026,"Barone; Barone"
"Spring 2026",Auto/Moto/Construction,33288,AUTO," 50",321,"Intro Automotive Mechanics",27,23,,,0,0,L/L,"MW; MW","1310; 1410","1400; 1600","EVANS; EVANS","103; 103",Evans,1/9/2026,5/20/2026,"Rothman; Rothman"
"Spring 2026",Auto/Moto/Construction,34332,AUTO," 56",001,"Intro to Hybrids and EVs",30,22,,,0,0,L/L,"TR; TR","1310; 1440","1425; 1555","EVANS; EVANS","103; 103",Evans,1/9/2026,5/20/2026,"Rothman; Rothman"
"Spring 2026",Auto/Moto/Construction,35864,AUTO," 59",001,"Suspension and Tires",26,26,,,0,0,L/L,"MW; MW","1610; 1740","1725; 1855","EVANS; EVANS","103; 103",Evans,1/9/2026,5/20/2026,"Barone; Barone"
"Spring 2026",Auto/Moto/Construction,36397,AUTO," 65",001,"Custom Metal Fabrication",35,27,,,0,0,L/L,"TR; TR","0910; 1010","1000; 1200","EVANS; EVANS","114; 114",Evans,1/9/2026,5/20/2026,"Brady; Staff"
"Spring 2026",Auto/Moto/Construction,34330,AUTO,200,001,"Auto Body Dent/Damage Repair",23,25,,,0,0,L/L,"TR; TR","1310; 1410","1400; 1600","EVANS; EVANS","114; 114",Evans,1/9/2026,5/20/2026,"Brady; Brady"
"Spring 2026",Auto/Moto/Construction,36396,AUTO,207,001,"Custom Painting",33,28,,,0,0,L/L,"TR; TR","1810; 1910","1900; 2100","EVANS; EVANS","114; 114",Evans,1/9/2026,5/20/2026,"Brady; Staff"
"Spring 2026",Auto/Moto/Construction,34897,CNST," 69",001,"Construction Safety",20,26,,,0,0,Lec,M,0810,1225,EVANS,255,Evans,1/9/2026,2/22/2026,Maximo
"Spring 2026",Auto/Moto/Construction,34333,CNST,100,322,"Intro to Construction",23,28,,,0,0,L/L,"TR; TR","0910; 1010","1000; 1200","EVANS; EVANS","255; 255",Evans,1/9/2026,5/20/2026,"Maximo; Maximo"
"Spring 2026",Auto/Moto/Construction,35059,CNST,100,H01,"Intro to Construction",23,30,,,0,0,L/L,"T; WR","1235; 1235","1425; 1425","JCH*; JCH*",,"Other Sites",1/9/2026,5/20/2026,"Staff; Wood"
"Spring 2026",Auto/Moto/Construction,34895,CNST,107,001,"Blueprint Reading",21,28,,,0,0,L/L,"TR; TR","1710; 1810","1800; 2000","EVANS; EVANS","255; 255",Evans,1/9/2026,5/20/2026,"Maximo; Maximo"
"Spring 2026",Auto/Moto/Construction,34896,CNST,111,001,"Carpentry-Rough Framing",25,28,,,0,0,L/L,"TR; TR","1210; 1310","1300; 1500","EVANS; EVANS","255; 255",Evans,1/9/2026,5/20/2026,"Maximo; Maximo"
"Spring 2026",Auto/Moto/Construction,34980,CNST,114,001,"Custom Cabinetmaking",21,28,,,0,0,L/L,"TR; TR","1810; 1910","1900; 2100","EVANS; EVANS","257; 257",Evans,1/9/2026,5/20/2026,"Cash; Cash"
"Spring 2026",Auto/Moto/Construction,35447,CNST,116,002,"Furniture Making & Woodworking",18,25,,,0,0,L/L,"MW; MW","1810; 1910","1900; 2100","EVANS; EVANS","257; 257",Evans,1/9/2026,5/20/2026,"Cash; Cash"
"Spring 2026",Auto/Moto/Construction,35953,CNST,116,003,"Furniture Making & Woodworking",18,26,,,0,0,L/L,"MW; MW","1410; 1510","1500; 1700","EVANS; EVANS","257; 257",Evans,1/9/2026,5/20/2026,"Cash; Cash"
"Spring 2026",Auto/Moto/Construction,30947,MOTO," 90",322,"Motorcycle Technology Intro",22,28,,,0,0,L/L,"MW; MW; MW; MW","1810; 1810; 1940; 1940","1925; 1925; 2055; 2055","EVANS; EVANS; EVANS; EVANS","115; 115; 115; 115",Evans,1/9/2026,5/20/2026,"Saunders; Simon; Saunders; Simon"
"Spring 2026",Auto/Moto/Construction,35448,MOTO," 90",323,"Motorcycle Technology Intro",7,28,,,0,0,L/L,"TR; TR","1810; 1940","1925; 2055","EVANS; EVANS","115; 115",Evans,1/9/2026,5/20/2026,"Simon; Simon"
"Spring 2026",Auto/Moto/Construction,36237,MOTO," 92",001,"Tune-up and Performance",18,27,,,0,0,L/L,"S; S","0810; 1110","1100; 1400","EVANS; EVANS","114; 114",Evans,1/9/2026,5/20/2026,"Saunders; Saunders"
"Spring 2026","Biological Sciences",35299,BIO,"  9",003,"Human Biology",31,32,,,0,0,L/L,"M; W","1810; 1810","2100; 2100","STEM; STEM","202; 202",Ocean,1/9/2026,5/20/2026,"Morante; Morante"
"Spring 2026","Biological Sciences",36392,BIO,"  9",004,"Human Biology",26,32,,,0,0,L/L,"T; R","1310; 1310","1600; 1600","MIC; MIC","364; 364",Mission,1/9/2026,5/20/2026,"Al-Dubaie; Al-Dubaie"
"Spring 2026","Biological Sciences",36393,BIO,"  9",006,"Human Biology",21,28,,,0,0,L/L,"T; R","1510; 1510","1800; 1800","CHNB; CHNB","1402; 1402","Chinatown/North Beach",1/9/2026,5/20/2026,"Siekmann; Siekmann"
"Spring 2026","Biological Sciences",30103,BIO,"  9",861,"Human Biology",25,32,,,0,0,Hyb,"T; TBA","1810; TBA","2100; TBA","STEM; TBA",202,Ocean,1/9/2026,5/20/2026,"Cannon; Cannon"
"Spring 2026","Biological Sciences",33514,BIO,"  9",862,"Human Biology",27,32,,,0,0,Hyb,"R; TBA","1010; TBA","1300; TBA","STEM; TBA",202,Ocean,1/9/2026,5/20/2026,"Cannon; Cannon"
"Spring 2026","Biological Sciences",35721,BIO,"  9",863,"Human Biology",29,32,,,0,0,Hyb,"TBA; W","TBA; 0910","TBA; 1200","TBA; STEM",202,Ocean,1/9/2026,5/20/2026,"Sengupta; Sengupta"
"Spring 2026","Biological Sciences",36420,BIO,"  9",961,"Human Biology",29,32,,,0,0,Hyb,"TBA; R; R; TBA","TBA; 1640; 1640; TBA","TBA; 1800; 1800; TBA","TBA; STEM; STEM; TBA","301; 301",Ocean,1/26/2026,5/20/2026,"Nixon; Staff; Staff; Nixon"
"Spring 2026","Biological Sciences",30762,BIO," 11",961,"Science of Living Organisms",22,24,,,0,0,Hyb,"W; TBA","1310; TBA","1600; TBA","STEM; TBA",206,Ocean,1/26/2026,5/20/2026,"Woo; Woo"
"Spring 2026","Biological Sciences",34560,BIO," 11",962,"Science of Living Organisms",24,24,,,0,0,Hyb,"W; TBA","0940; TBA","1230; TBA","STEM; TBA",206,Ocean,1/26/2026,5/20/2026,"Woo; Woo"
"Spring 2026","Biological Sciences",32076,BIO," 12",961,"Plant Biology",23,24,,,0,0,Hyb,"W; TBA","1310; TBA","1600; TBA","STEM; TBA",303,Ocean,1/26/2026,5/20/2026,"Traut; Traut"
"Spring 2026","Biological Sciences",31951,BIO," 19",861,Ecology,25,36,,,0,0,Hyb,"W; TBA","0910; TBA","1200; TBA","STEM; TBA",204,Ocean,1/9/2026,5/20/2026,"Cannon; Cannon"
"Spring 2026","Biological Sciences",31949,BIO," 20",831,"Introduction to Ecology",35,36,,,0,0,Onl,TBA,TBA,TBA,TBA,,Online,1/9/2026,5/20/2026,Cannon
"Spring 2026","Biological Sciences",35960,BIO," 21D",001,"Ecology of Point Reyes",21,20,,,0,0,Lec,"R; US","1740; 0830","2030; 1545","STEM; HBB","303; 398",Ocean,4/9/2026,4/19/2026,"Traut; Staff"
"Spring 2026","Biological Sciences",31791,BIO," 32",001,"Marine Biology",23,32,,,0,0,Lec,"W; W","1710; 1710","2000; 2000","STEM; STEM","317; 317",Ocean,1/9/2026,5/20/2026,"Lauritzen; Traut"
